"Código de radio.","Población total (en hogares familiares).","Población de 0 a 17 años.","Población de 0 a 3 años.","Población de 4 a 5 años.","Población de 6 a 12 años.","Población de 13 a 17 años.","Población de 18 años y más.","Población de 18 a 29 años.","Población de 30 a 54 años.","Población de 55 a 69 años.","Población de 70 años y más.","Total de mujeres (en hogares familiares).","Mujeres de 0 a 17 años.","Mujeres de 0 a 3 años.","Mujeres de 4 a 5 años.","Mujeres de 6 a 12 años.","Mujeres de 13 a 17 años.","Mujeres de 18 años y más.","Mujeres de 18 a 29 años.","Mujeres de 30 a 54 años.","Mujeres de 55 a 69 años.","Mujeres de 70 años y más.","Total de varones (en hogares familiares).","Varones de 0 a 17 años.","Varones de 0 a 3 años.","Varones de 4 a 5 años.","Varones de 6 a 12 años.","Varones de 13 a 17 años.","Varones de 18 años y más.","Varones de 18 a 29 años.","Varones de 30 a 54 años.","Varones de 55 a 69 años.","Varones de 70 años y más.","Población de 18 y más con primaria incompleta o menos","Población de 18 y más con primaria completa","Población de 18 y más con secundaria completa","Población de 18 y más con primaria completa sin secundario completo","Población de 18 y más con secundaria completa sin superior completo","Población de 18 y más con terciario completo","Población de 18 y más con universitario completo o más","Niños de 4 y 5 años que asisten a jardín","Población de 6 a 12 que asiste","Población de 13 a 17 sin secundaria completa que asiste","Población de 13 a 17 sin secundaria completa","Población de 18 a 29 sin secundaria completa que asiste","Población de 18 a 29 sin secundaria completa","Población de 14 a 25 años sin secundario completo o más que asiste","Población de 14 a 25 años sin secundario completo","Población de 14 a 25 años","Código de provincia","Nombre de provincia","Código de departamentos/comuna","Nombre de departamentos/comuna","Código de radio","Población total","Total de hogares","Latitud del centroide","Longitud del centroide","Superficie en km2","Geometría en WKT"
"066230601",9,3,0,0,0,3,6,2,2,0,2,5,2,0,0,0,2,3,1,1,0,1,4,1,0,0,0,1,3,1,1,0,1,1,5,0,5,0,0,0,0,0,3,3,0,2,2,3,3,"06","Buenos Aires","06623","Pergamino","066230601",9,4,-33.576819,-60.853516,50.542338256724,"POLYGON((-60.818355 -33.543009,-60.818136 -33.543801,-60.817073 -33.544189,-60.815681 -33.543865,-60.814777 -33.543926,-60.814397 -33.544531,-60.813751 -33.544958,-60.811919 -33.546367,-60.809999 -33.548140,-60.808688 -33.550151,-60.806233 -33.554328,-60.808609 -33.555585,-60.808466 -33.556938,-60.805087 -33.558506,-60.803494 -33.559789,-60.801819 -33.560646,-60.800824 -33.562494,-60.799826 -33.564122,-60.798522 -33.564576,-60.798394 -33.565484,-60.800202 -33.568013,-60.807156 -33.574283,-60.807545 -33.573768,-60.863359 -33.624258,-60.871722 -33.613579,-60.887799 -33.599213,-60.909787 -33.580984,-60.906580 -33.577377,-60.905970 -33.575898,-60.904022 -33.574922,-60.902983 -33.573024,-60.899933 -33.571634,-60.894916 -33.568136,-60.893799 -33.566379,-60.891087 -33.564912,-60.887935 -33.562113,-60.885135 -33.560926,-60.880449 -33.556793,-60.871781 -33.551883,-60.869283 -33.550312,-60.868636 -33.549664,-60.867639 -33.548974,-60.865271 -33.547989,-60.863897 -33.547459,-60.862914 -33.546995,-60.861988 -33.546885,-60.861001 -33.546398,-60.860216 -33.546402,-60.858513 -33.546326,-60.857285 -33.546190,-60.855012 -33.545951,-60.853244 -33.545909,-60.852351 -33.545917,-60.851679 -33.545506,-60.849386 -33.545568,-60.848483 -33.545476,-60.847245 -33.544547,-60.846247 -33.544978,-60.845522 -33.545731,-60.844632 -33.545923,-60.843562 -33.545653,-60.842553 -33.545940,-60.841721 -33.545477,-60.840651 -33.545158,-60.839862 -33.544738,-60.838403 -33.544281,-60.837791 -33.544494,-60.836353 -33.544898,-60.832969 -33.544724,-60.829258 -33.543998,-60.828239 -33.543059,-60.826724 -33.543455,-60.824630 -33.543736,-60.824572 -33.543716,-60.823673 -33.542971,-60.822493 -33.542179,-60.821367 -33.541583,-60.820519 -33.540931,-60.818663 -33.540331,-60.817878 -33.540568,-60.817736 -33.542488,-60.818355 -33.543009))"
"066230602",30,10,2,1,5,2,20,6,8,4,2,13,6,1,0,3,2,7,2,4,1,0,17,4,1,1,2,0,13,4,4,3,2,1,19,2,17,2,0,0,1,5,2,2,1,6,2,5,5,"06","Buenos Aires","06623","Pergamino","066230602",30,10,-33.613278,-60.807402,57.132110688944,"POLYGON((-60.787671 -33.574276,-60.786863 -33.575291,-60.783018 -33.577487,-60.779654 -33.578429,-60.779314 -33.578586,-60.779279 -33.578584,-60.778043 -33.579013,-60.776765 -33.579346,-60.775981 -33.579543,-60.774858 -33.579315,-60.774304 -33.579976,-60.772626 -33.580175,-60.771679 -33.580274,-60.770950 -33.580801,-60.770167 -33.581038,-60.769274 -33.581225,-60.768384 -33.581755,-60.767265 -33.581941,-60.766478 -33.581665,-60.765710 -33.582582,-60.765067 -33.582946,-60.763639 -33.583268,-60.762911 -33.583822,-60.762026 -33.584199,-60.761624 -33.584344,-60.760803 -33.584413,-60.759635 -33.584962,-60.758815 -33.584868,-60.758086 -33.585143,-60.757518 -33.585686,-60.756800 -33.586034,-60.755940 -33.586348,-60.755301 -33.587136,-60.755028 -33.587813,-60.753927 -33.587487,-60.752911 -33.587214,-60.752019 -33.587460,-60.751201 -33.587429,-60.749907 -33.587437,-60.748842 -33.587410,-60.748188 -33.587819,-60.747371 -33.588167,-60.745047 -33.588450,-60.742535 -33.587443,-60.742015 -33.587551,-60.739379 -33.588087,-60.739190 -33.588097,-60.759684 -33.607206,-60.759988 -33.606814,-60.781549 -33.626077,-60.824437 -33.664169,-60.836032 -33.656203,-60.841156 -33.651606,-60.852464 -33.639647,-60.863165 -33.624808,-60.863359 -33.624258,-60.807545 -33.573768,-60.807156 -33.574283,-60.800202 -33.568013,-60.798394 -33.565484,-60.797603 -33.566747,-60.796217 -33.567093,-60.795472 -33.568394,-60.795196 -33.568833,-60.793900 -33.568967,-60.792372 -33.570329,-60.790508 -33.571412,-60.788887 -33.572752,-60.787671 -33.574276))"
"066230703",70,18,8,1,3,6,52,18,18,13,3,32,9,4,0,1,4,23,9,8,6,0,38,9,4,1,2,2,29,9,10,7,3,7,44,15,29,13,2,0,1,3,4,6,0,13,4,16,20,"06","Buenos Aires","06623","Pergamino","066230703",80,22,-33.639034,-60.660464,92.335497268909,"POLYGON((-60.678029 -33.588053,-60.674974 -33.589114,-60.673196 -33.588988,-60.671861 -33.590051,-60.668580 -33.591772,-60.666417 -33.592016,-60.666232 -33.592089,-60.665297 -33.592161,-60.664311 -33.592888,-60.663059 -33.594045,-60.661665 -33.594902,-60.660693 -33.595837,-60.660343 -33.596803,-60.660026 -33.597527,-60.659698 -33.598399,-60.659126 -33.599648,-60.657936 -33.600249,-60.657163 -33.600571,-60.656796 -33.602149,-60.656567 -33.602944,-60.656434 -33.603920,-60.655642 -33.604466,-60.654846 -33.605025,-60.654256 -33.605472,-60.653435 -33.606445,-60.651684 -33.607629,-60.649491 -33.607651,-60.647235 -33.608737,-60.643954 -33.611591,-60.641994 -33.614017,-60.641871 -33.614174,-60.639140 -33.616485,-60.637044 -33.616417,-60.634301 -33.617625,-60.633057 -33.619331,-60.632365 -33.619386,-60.632034 -33.619480,-60.631914 -33.620590,-60.630435 -33.621795,-60.629977 -33.622464,-60.629040 -33.622769,-60.628477 -33.623564,-60.627572 -33.623930,-60.626685 -33.624656,-60.625741 -33.625299,-60.624839 -33.625710,-60.624001 -33.625956,-60.623619 -33.625953,-60.622887 -33.626308,-60.620303 -33.626727,-60.619302 -33.626994,-60.618485 -33.629267,-60.617571 -33.628903,-60.616894 -33.627735,-60.616883 -33.626276,-60.615334 -33.625965,-60.610803 -33.627275,-60.608044 -33.629760,-60.606474 -33.630227,-60.605194 -33.630603,-60.603477 -33.630064,-60.601725 -33.628439,-60.600431 -33.628311,-60.598354 -33.628877,-60.596815 -33.630096,-60.594337 -33.631486,-60.591887 -33.631734,-60.589666 -33.632663,-60.587969 -33.632058,-60.585997 -33.632012,-60.585632 -33.632814,-60.586220 -33.634510,-60.581879 -33.635093,-60.578967 -33.636320,-60.577166 -33.637879,-60.574679 -33.638161,-60.570875 -33.637948,-60.571224 -33.638265,-60.590554 -33.656076,-60.630849 -33.693164,-60.635694 -33.697403,-60.643007 -33.692353,-60.649546 -33.687547,-60.652021 -33.685575,-60.674419 -33.668184,-60.677886 -33.665953,-60.691843 -33.655232,-60.693101 -33.653418,-60.698140 -33.658149,-60.699696 -33.657041,-60.702642 -33.659662,-60.706403 -33.656542,-60.707146 -33.657208,-60.707469 -33.657018,-60.708957 -33.658331,-60.742294 -33.629882,-60.691918 -33.584898,-60.690090 -33.584684,-60.685841 -33.585402,-60.682264 -33.586899,-60.682143 -33.586943,-60.678029 -33.588053))"
"066230603",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"06","Buenos Aires","06623","Pergamino","066230603",0,0,-33.630466,-60.76392,38.524660695469,"POLYGON((-60.691918 -33.584898,-60.742294 -33.629882,-60.748649 -33.635518,-60.785575 -33.668405,-60.800419 -33.681895,-60.811050 -33.674872,-60.811976 -33.674155,-60.815740 -33.671216,-60.821345 -33.667113,-60.824437 -33.664169,-60.781549 -33.626077,-60.759988 -33.606814,-60.759684 -33.607206,-60.739190 -33.588097,-60.737224 -33.587370,-60.733043 -33.586836,-60.729802 -33.587345,-60.726942 -33.587457,-60.725090 -33.587090,-60.721571 -33.587885,-60.719249 -33.588488,-60.716940 -33.588254,-60.713806 -33.588110,-60.711378 -33.588416,-60.709809 -33.588704,-60.706452 -33.587494,-60.703500 -33.586489,-60.701593 -33.585804,-60.699178 -33.585669,-60.696540 -33.585731,-60.693605 -33.585097,-60.691918 -33.584898))"
"066230901",62,19,3,1,9,6,43,5,19,10,9,24,6,1,0,3,2,18,1,10,4,3,38,13,2,1,6,4,25,4,9,6,6,4,39,9,30,7,2,0,1,9,6,6,0,4,4,8,8,"06","Buenos Aires","06623","Pergamino","066230901",62,20,-33.657633,-60.435427,62.587658994755,"POLYGON((-60.456297 -33.599164,-60.429281 -33.619653,-60.426486 -33.617079,-60.405138 -33.633202,-60.404694 -33.633541,-60.404324 -33.633817,-60.400387 -33.636792,-60.399002 -33.637827,-60.397966 -33.638622,-60.397949 -33.638630,-60.396423 -33.639802,-60.395171 -33.640731,-60.393426 -33.642046,-60.393222 -33.642204,-60.387405 -33.636985,-60.381052 -33.641933,-60.394163 -33.665541,-60.394768 -33.666621,-60.398034 -33.665096,-60.399055 -33.664762,-60.400911 -33.667047,-60.400296 -33.667264,-60.404956 -33.675946,-60.404071 -33.676372,-60.400523 -33.677916,-60.401049 -33.678763,-60.400696 -33.678900,-60.400754 -33.679002,-60.418311 -33.711390,-60.423538 -33.720419,-60.448259 -33.702120,-60.438855 -33.693025,-60.471378 -33.668274,-60.501275 -33.645551,-60.501106 -33.645251,-60.498195 -33.645130,-60.495439 -33.643922,-60.493336 -33.643252,-60.489580 -33.643629,-60.487768 -33.642396,-60.485464 -33.641991,-60.484211 -33.641278,-60.482081 -33.641066,-60.480129 -33.639287,-60.478564 -33.638852,-60.477204 -33.638337,-60.476051 -33.637642,-60.474980 -33.637643,-60.473444 -33.637651,-60.472871 -33.637697,-60.472295 -33.637748,-60.471671 -33.637661,-60.470206 -33.636966,-60.467805 -33.637411,-60.466831 -33.636801,-60.466231 -33.635586,-60.463256 -33.635340,-60.462134 -33.634295,-60.461344 -33.632473,-60.460161 -33.631506,-60.459665 -33.631232,-60.458461 -33.629423,-60.457424 -33.627019,-60.457880 -33.625775,-60.458393 -33.624907,-60.457751 -33.623717,-60.458895 -33.621901,-60.458561 -33.620028,-60.458296 -33.618841,-60.458055 -33.618110,-60.458171 -33.617270,-60.458434 -33.616638,-60.458540 -33.615909,-60.458266 -33.615276,-60.458756 -33.614016,-60.458794 -33.613338,-60.459102 -33.612146,-60.459487 -33.611551,-60.460139 -33.610743,-60.460598 -33.609995,-60.460741 -33.608642,-60.460007 -33.608060,-60.459187 -33.607938,-60.458687 -33.606885,-60.459191 -33.606368,-60.458808 -33.605504,-60.457866 -33.604850,-60.457193 -33.603677,-60.456801 -33.602714,-60.456599 -33.601382,-60.456778 -33.600509,-60.456579 -33.599852,-60.457032 -33.598608,-60.456297 -33.599164))"
"066230705",22,2,0,0,1,1,20,3,11,6,0,8,1,0,0,0,1,7,1,3,3,0,14,1,0,0,1,0,13,2,8,3,0,7,13,5,8,4,0,1,0,1,1,1,0,0,1,1,3,"06","Buenos Aires","06623","Pergamino","066230705",22,9,-33.682117,-60.747391,54.331787151999,"POLYGON((-60.746306 -33.743861,-60.746309 -33.743864,-60.746668 -33.741872,-60.748318 -33.735092,-60.752468 -33.726286,-60.757412 -33.716298,-60.757609 -33.716113,-60.800419 -33.681895,-60.785575 -33.668405,-60.748649 -33.635518,-60.742294 -33.629882,-60.708957 -33.658331,-60.714874 -33.663851,-60.714458 -33.664259,-60.709500 -33.668005,-60.709936 -33.668372,-60.709527 -33.668692,-60.722407 -33.679240,-60.722638 -33.679597,-60.722543 -33.680088,-60.722235 -33.680417,-60.703592 -33.694869,-60.737113 -33.724776,-60.730757 -33.729391,-60.746306 -33.743861))"
"066230802",23,6,1,2,3,0,17,6,7,2,2,9,3,0,1,2,0,6,3,2,1,0,14,3,1,1,1,0,11,3,5,1,2,5,12,3,9,3,0,0,2,3,0,0,0,5,0,3,4,"06","Buenos Aires","06623","Pergamino","066230802",23,9,-33.685352,-60.569374,71.129613006605,"POLYGON((-60.556539 -33.646672,-60.553137 -33.647201,-60.549567 -33.647074,-60.546392 -33.646952,-60.541907 -33.647676,-60.538886 -33.647304,-60.535830 -33.648226,-60.531403 -33.648893,-60.527998 -33.649008,-60.526413 -33.648969,-60.524443 -33.648562,-60.522677 -33.648875,-60.521935 -33.648266,-60.521974 -33.646040,-60.519044 -33.645073,-60.514987 -33.644785,-60.511163 -33.645105,-60.508390 -33.646574,-60.503307 -33.646217,-60.503607 -33.648562,-60.504916 -33.650721,-60.505421 -33.651918,-60.507227 -33.653052,-60.507809 -33.654729,-60.507916 -33.656471,-60.508410 -33.657915,-60.508407 -33.659152,-60.508846 -33.660531,-60.510005 -33.661721,-60.511163 -33.663194,-60.512973 -33.664810,-60.514336 -33.664861,-60.516654 -33.665738,-60.518428 -33.667374,-60.519899 -33.669285,-60.520266 -33.670966,-60.520277 -33.672654,-60.520216 -33.674123,-60.521368 -33.674840,-60.522515 -33.676263,-60.522250 -33.677899,-60.521642 -33.679370,-60.522920 -33.679931,-60.523347 -33.680962,-60.524214 -33.681802,-60.526025 -33.683534,-60.525835 -33.685006,-60.526756 -33.685920,-60.527989 -33.688031,-60.529501 -33.688508,-60.530229 -33.689588,-60.530812 -33.691392,-60.530072 -33.692947,-60.529667 -33.694500,-60.530125 -33.696136,-60.530716 -33.696662,-60.531134 -33.697040,-60.531872 -33.698972,-60.532955 -33.700329,-60.533422 -33.701948,-60.534267 -33.703151,-60.534922 -33.704651,-60.535585 -33.706809,-60.535957 -33.708792,-60.535827 -33.711014,-60.535899 -33.712290,-60.535922 -33.713412,-60.536106 -33.714577,-60.536355 -33.716937,-60.536508 -33.721133,-60.537566 -33.724280,-60.593102 -33.724040,-60.614655 -33.723648,-60.624585 -33.723461,-60.624627 -33.723463,-60.623859 -33.699011,-60.635400 -33.697579,-60.635694 -33.697403,-60.630849 -33.693164,-60.590554 -33.656076,-60.571224 -33.638265,-60.570875 -33.637948,-60.570111 -33.639409,-60.569610 -33.639881,-60.568826 -33.640630,-60.566246 -33.641997,-60.564154 -33.643223,-60.560821 -33.645313,-60.556539 -33.646672),(-60.580941 -33.704354,-60.585962 -33.704601,-60.586027 -33.704559,-60.586101 -33.704540,-60.587159 -33.704582,-60.587320 -33.704580,-60.587375 -33.704564,-60.587471 -33.704492,-60.589525 -33.704411,-60.589243 -33.709750,-60.590288 -33.709697,-60.590208 -33.711237,-60.587243 -33.711322,-60.586644 -33.711305,-60.585844 -33.711291,-60.585747 -33.713681,-60.585490 -33.713680,-60.580649 -33.713512,-60.580649 -33.712702,-60.579381 -33.712664,-60.579288 -33.712219,-60.579299 -33.711944,-60.580659 -33.711988,-60.580680 -33.710926,-60.580714 -33.710131,-60.580717 -33.709964,-60.580765 -33.708891,-60.580791 -33.707848,-60.580853 -33.706694,-60.580888 -33.705665,-60.580941 -33.704354))"
"066230704",52,19,10,4,4,1,33,11,12,7,3,27,13,7,2,3,1,14,5,5,4,0,25,6,3,2,1,0,19,6,7,3,3,9,23,4,19,4,0,0,4,4,1,1,0,10,1,5,6,"06","Buenos Aires","06623","Pergamino","066230704",52,16,-33.710263,-60.686343,66.806800907574,"POLYGON((-60.691843 -33.655232,-60.677886 -33.665953,-60.674419 -33.668184,-60.652021 -33.685575,-60.649546 -33.687547,-60.643007 -33.692353,-60.635694 -33.697403,-60.635400 -33.697579,-60.623859 -33.699011,-60.624629 -33.723481,-60.638820 -33.723011,-60.662856 -33.734244,-60.691461 -33.747325,-60.710601 -33.756088,-60.718692 -33.749635,-60.726422 -33.755795,-60.733308 -33.750000,-60.744622 -33.759768,-60.744747 -33.752447,-60.746309 -33.743864,-60.730757 -33.729391,-60.737113 -33.724776,-60.703592 -33.694869,-60.722235 -33.680417,-60.722543 -33.680088,-60.722638 -33.679597,-60.722407 -33.679240,-60.709527 -33.668692,-60.709936 -33.668372,-60.708593 -33.667240,-60.707371 -33.668140,-60.702429 -33.663611,-60.702771 -33.663326,-60.703244 -33.662843,-60.702615 -33.662176,-60.701509 -33.661148,-60.701191 -33.660866,-60.702642 -33.659662,-60.699696 -33.657041,-60.698140 -33.658149,-60.693101 -33.653418,-60.691843 -33.655232))"
"066230803",22,5,1,0,3,1,17,2,7,3,5,11,3,1,0,1,1,8,1,3,2,2,11,2,0,0,2,0,9,1,4,1,3,4,12,2,10,2,0,0,0,3,0,1,0,2,0,2,2,"06","Buenos Aires","06623","Pergamino","066230803",22,10,-33.693024,-60.503666,36.587248005864,"POLYGON((-60.487652 -33.724958,-60.489423 -33.728327,-60.501737 -33.727698,-60.518179 -33.727437,-60.538290 -33.727080,-60.537788 -33.725568,-60.537566 -33.724280,-60.536508 -33.721133,-60.536355 -33.716937,-60.536106 -33.714577,-60.535922 -33.713412,-60.535899 -33.712290,-60.535827 -33.711014,-60.535957 -33.708792,-60.535585 -33.706809,-60.534922 -33.704651,-60.534267 -33.703151,-60.533422 -33.701948,-60.532955 -33.700329,-60.531872 -33.698972,-60.531134 -33.697040,-60.530716 -33.696662,-60.530125 -33.696136,-60.529667 -33.694500,-60.530072 -33.692947,-60.530812 -33.691392,-60.530229 -33.689588,-60.529501 -33.688508,-60.527989 -33.688031,-60.526756 -33.685920,-60.525835 -33.685006,-60.526025 -33.683534,-60.524214 -33.681802,-60.523347 -33.680962,-60.522920 -33.679931,-60.521642 -33.679370,-60.522250 -33.677899,-60.522515 -33.676263,-60.521368 -33.674840,-60.520216 -33.674123,-60.520277 -33.672654,-60.520266 -33.670966,-60.519899 -33.669285,-60.518428 -33.667374,-60.516654 -33.665738,-60.514336 -33.664861,-60.512973 -33.664810,-60.511163 -33.663194,-60.510005 -33.661721,-60.508846 -33.660531,-60.508407 -33.659152,-60.508410 -33.657915,-60.507916 -33.656471,-60.507809 -33.654729,-60.507227 -33.653052,-60.505421 -33.651918,-60.504916 -33.650721,-60.503607 -33.648562,-60.503307 -33.646217,-60.502384 -33.646005,-60.501275 -33.645551,-60.471378 -33.668274,-60.472626 -33.670381,-60.473610 -33.673085,-60.474207 -33.675933,-60.474746 -33.678405,-60.474931 -33.680879,-60.475932 -33.683489,-60.475837 -33.687868,-60.476026 -33.689906,-60.477921 -33.691997,-60.478662 -33.694461,-60.479199 -33.696793,-60.479733 -33.698878,-60.479047 -33.700917,-60.478238 -33.701745,-60.478482 -33.704690,-60.478671 -33.705823,-60.479430 -33.706739,-60.480946 -33.707707,-60.481715 -33.709933,-60.482945 -33.711923,-60.483609 -33.715156,-60.483729 -33.717065,-60.483450 -33.719199,-60.486018 -33.722397,-60.487652 -33.724958))"
"066230904",98,24,3,2,9,10,74,22,23,17,12,50,13,2,1,5,5,37,10,14,7,6,48,11,1,1,4,5,37,12,9,10,6,9,62,28,34,22,4,2,1,9,10,10,2,8,10,11,23,"06","Buenos Aires","06623","Pergamino","066230904",98,28,-33.696165,-60.372171,53.166615622539,"POLYGON((-60.347451 -33.667082,-60.326518 -33.683101,-60.325971 -33.683517,-60.325979 -33.685776,-60.327537 -33.687157,-60.328914 -33.690730,-60.330786 -33.693484,-60.331398 -33.696617,-60.333011 -33.696844,-60.336190 -33.699244,-60.339759 -33.703215,-60.341110 -33.705140,-60.341258 -33.705345,-60.342455 -33.708311,-60.343742 -33.713459,-60.344522 -33.714988,-60.345968 -33.716490,-60.347636 -33.719491,-60.349815 -33.723456,-60.350894 -33.724779,-60.351347 -33.727877,-60.351635 -33.729349,-60.352728 -33.732476,-60.353103 -33.736026,-60.353910 -33.739514,-60.355365 -33.742820,-60.357683 -33.746242,-60.360773 -33.748715,-60.385306 -33.730988,-60.385654 -33.732417,-60.387468 -33.734160,-60.418311 -33.711390,-60.400754 -33.679002,-60.400696 -33.678900,-60.400453 -33.678992,-60.400247 -33.679055,-60.398041 -33.680044,-60.397013 -33.680411,-60.395657 -33.680903,-60.394454 -33.681361,-60.393462 -33.679328,-60.395515 -33.677805,-60.396695 -33.676909,-60.397560 -33.676265,-60.397932 -33.675976,-60.397740 -33.675566,-60.397278 -33.674605,-60.396931 -33.673860,-60.396022 -33.672118,-60.394790 -33.669389,-60.395823 -33.668968,-60.394768 -33.666621,-60.394163 -33.665541,-60.381052 -33.641933,-60.377086 -33.644636,-60.348001 -33.666662,-60.347955 -33.666701,-60.347451 -33.667082))"
"066230701",521,112,28,11,41,32,409,85,136,95,93,257,53,11,5,20,17,204,44,63,48,49,264,59,17,6,21,15,205,41,73,47,44,58,339,163,176,112,30,21,11,41,31,32,5,34,32,51,87,"06","Buenos Aires","06623","Pergamino","066230701",521,180,-33.66061,-60.705748,0.40643757297363,"POLYGON((-60.706403 -33.656542,-60.701191 -33.660866,-60.701509 -33.661148,-60.702615 -33.662176,-60.703244 -33.662843,-60.702771 -33.663326,-60.702429 -33.663611,-60.704014 -33.665064,-60.710099 -33.660359,-60.710670 -33.659930,-60.708957 -33.658331,-60.707469 -33.657018,-60.707146 -33.657208,-60.706403 -33.656542))"
"066230702",622,143,29,10,59,45,479,106,180,101,92,312,66,13,7,26,20,246,54,97,46,49,310,77,16,3,33,25,233,52,83,55,43,71,399,170,229,122,37,11,10,59,42,45,8,43,42,69,110,"06","Buenos Aires","06623","Pergamino","066230702",623,219,-33.66431,-60.70951,0.47353704297196,"POLYGON((-60.704418 -33.665434,-60.707371 -33.668140,-60.708593 -33.667240,-60.709500 -33.668005,-60.714458 -33.664259,-60.714874 -33.663851,-60.710670 -33.659930,-60.710099 -33.660359,-60.704014 -33.665064,-60.704418 -33.665434))"
"066231001",16,3,0,1,1,1,13,1,6,6,0,7,1,0,1,0,0,6,0,3,3,0,9,2,0,0,1,1,7,1,3,3,0,1,12,1,11,1,0,0,1,1,1,1,0,0,1,1,2,"06","Buenos Aires","06623","Pergamino","066231001",16,7,-33.674465,-60.278931,27.761608526359,"POLYGON((-60.230995 -33.696844,-60.230907 -33.698473,-60.290795 -33.687655,-60.290841 -33.687076,-60.312021 -33.683813,-60.312205 -33.683507,-60.326268 -33.680889,-60.327083 -33.677309,-60.325968 -33.674302,-60.325887 -33.673196,-60.325088 -33.671400,-60.323137 -33.668516,-60.319804 -33.665150,-60.317327 -33.660010,-60.314626 -33.655435,-60.313162 -33.653568,-60.312296 -33.651283,-60.312167 -33.651119,-60.308851 -33.651961,-60.305145 -33.652608,-60.301433 -33.653251,-60.297721 -33.653898,-60.294015 -33.654536,-60.239126 -33.664670,-60.239452 -33.665355,-60.240620 -33.667192,-60.240888 -33.672405,-60.241506 -33.673775,-60.241281 -33.676455,-60.239596 -33.679327,-60.238871 -33.681826,-60.238012 -33.685183,-60.236410 -33.687357,-60.235050 -33.688464,-60.232575 -33.688694,-60.231345 -33.690418,-60.231029 -33.691645,-60.230343 -33.692450,-60.230438 -33.694438,-60.230995 -33.696844))"
"066231101",56,13,3,0,6,4,43,2,24,11,6,29,9,3,0,3,3,20,1,11,5,3,27,4,0,0,3,1,23,1,13,6,3,10,33,2,31,2,0,0,0,6,4,4,0,2,4,5,5,"06","Buenos Aires","06623","Pergamino","066231101",56,21,-33.689858,-60.19384,51.811725899595,"POLYGON((-60.138340 -33.712060,-60.146267 -33.727230,-60.174381 -33.722099,-60.191789 -33.719089,-60.208256 -33.716234,-60.224869 -33.713217,-60.226705 -33.708561,-60.229980 -33.706281,-60.229997 -33.704500,-60.231089 -33.701618,-60.230607 -33.700511,-60.230907 -33.698473,-60.230995 -33.696844,-60.230438 -33.694438,-60.230343 -33.692450,-60.231029 -33.691645,-60.231345 -33.690418,-60.232575 -33.688694,-60.235050 -33.688464,-60.236410 -33.687357,-60.238012 -33.685183,-60.238871 -33.681826,-60.239596 -33.679327,-60.241281 -33.676455,-60.241506 -33.673775,-60.240888 -33.672405,-60.240620 -33.667192,-60.239452 -33.665355,-60.239126 -33.664670,-60.239597 -33.661497,-60.240840 -33.658712,-60.241264 -33.656559,-60.241862 -33.652641,-60.241355 -33.650638,-60.242294 -33.648832,-60.188160 -33.658767,-60.183894 -33.659555,-60.173844 -33.661595,-60.171902 -33.661822,-60.174827 -33.673860,-60.173315 -33.675489,-60.159244 -33.690600,-60.151289 -33.692036,-60.140840 -33.693973,-60.138340 -33.712060))"
"066231701",59,16,2,2,10,2,43,9,17,7,10,23,7,1,0,5,1,16,2,8,2,4,36,9,1,2,5,1,27,7,9,5,6,10,31,6,25,5,1,0,2,10,2,2,1,8,3,6,7,"06","Buenos Aires","06623","Pergamino","066231701",59,19,-33.720023,-60.813537,52.147419712295,"POLYGON((-60.806382 -33.755747,-60.819513 -33.766067,-60.831727 -33.755580,-60.831911 -33.755430,-60.863621 -33.729127,-60.858024 -33.724631,-60.864323 -33.719078,-60.864149 -33.718936,-60.844068 -33.702061,-60.811050 -33.674872,-60.800419 -33.681895,-60.757609 -33.716113,-60.806307 -33.755690,-60.806382 -33.755747))"
